,state,city,report_date,product_description,product_quantity,reason_for_recall,recalling_firm,recall_number
58,MN,Minneapolis,20180509,Kidfresh Muy Cheesy Quesadillas 4.2oz    UPC: 810882016057    Target item number: 270-2-955,2652 retail units total,Shipping container from CA to HI was not held at proper temperature which could cause food items to be contaminated with spoilage organisms or pathogens,Target Corporation,F-1304-2018
59,MN,Minneapolis,20180509,GREEN GIANT STEAMERS BABY BRUSSEL SPROUTS & BUTTER SAUCE 10OZ.    UPC: 20000001401    Target item number  270-0-280,2652 retail units  total,Shipping container from CA to HI was not held at proper temperature which could cause food items to be contaminated with spoilage organisms or pathogens,Target Corporation,F-1188-2018
60,FL,Saint Petersburg,20181121,"JY Raspberry Tracks Ice Cream, 3 gallons",46 tubs,Products may be contaminated with  Listeria monocytogenes.,Working Cow Homemade Inc.,F-0579-2019
61,IL,Oakbrook Ter,20181031,Fire Roasted Green Pepper Strips ;    Sold in 2  lb.  containers. Brand Name: Jon-Lin¿ NatureSmart¿,"44,869 cases","During an internal audit at the manufacturing location, it was discovered that finished product had been released on numerous occasions after receiving presumptive positive test results for Listeria monocytogenes and Salmonella; confirmation was not conducted.",McCain Foods USA,F-0251-2019
62,ME,York,20180516,"STONEWALL KITCHEN Basil Pesto Aioli Net Weight Net 10.25 oz. UPC: 7 11381 03060 8. Product is incorrectly labeled as Basil Pesto, Net Weight 8 oz.",732 units,Product may contain undeclared eggs.,"Stonewall Kitchen, LLC",F-1440-2018
63,NJ,Ho Ho Kus,20181003,"Love Corn, Sea Salt , Net WT. 1.6 Oz.   Bags of 10 per cases","1,404 Cases","Love Corn Inc. is Initiating a voluntary recall for 1,404 cases of its 1.6 oz. Sea Salt Love Corn product, due to the presence of low levels of undeclared peanuts.",LOVE CORN USA,F-1987-2018
64,MN,Minneapolis,20180509,Tail-On Cooked Shrimp - 16oz - Market Pantry    UPC: 85239031353     Target item number: 210-7-264,2652 retail units total,Shipping container from CA to HI was not held at proper temperature which could cause food items to be contaminated with spoilage organisms or pathogens,Target Corporation,F-1204-2018
65,MD,Baltimore,20180307,"PREMIUM HAMS( Under the following Trade Names -  16CT RIBBON, BLUE RIBBON SUNBEAM, ALDIS)",40608,"Schmidt Baking Company has decided to initiate a recall of various bread products, after being informed by one of their vendors that the ingredient supplied to them by the vendor is under recall.  Potential of foreign material in product.","Schmidt Baking Co., Inc.",F-0853-2018
66,OR,Nyssa,20181128,Chocolate Chip Cookies in plastic clamshell (12 count),Estimated total for all varieties: 150-300 12-count clamshell units,"Undeclared allergens (Wheat, Soy (oil & lecithin), Yellow 5, Yellow 6, Blue 1, Red 40) due to firm using one label for multiple varieties of cookies and the labels therefore fail to include all ingredients",Cinnamon and Spice Bakery,F-0648-2019
67,FL,Saint Petersburg,20181121,"JY Salted Caramel Ice Cream, 3 gallons",134 tubs,Products may be contaminated with  Listeria monocytogenes.,Working Cow Homemade Inc.,F-0557-2019
68,MA,Woburn,20181031,"Victoria Taylor's Seasonings - Blackening Rub, 6.4 oz., UPC: 666227015274, packaged in a glass jar with a lid",21  jars,Product labeling is incorrect.,"Victoria Gourmet, Inc.",F-0059-2019
69,FL,Davie,20180131,Rugby D3 Vitamin liquid 400 IU/1 mL dose 1 2/3 fl. oz. (50 mL) UPC 00536-8400-80,Unknown,Presence of yeast and potential contamination with B. cepacia.,Pharmatech LLC,F-0626-2018
70,MN,Minneapolis,20180509,COOL WHIP 80Z WHIPPED TOPPING    UPC: 43000009536  288-9-16    Target item number:,2652 retail units total,Shipping container from CA to HI was not held at proper temperature which could cause food items to be contaminated with spoilage organisms or pathogens,Target Corporation,F-1286-2018
71,NY,Brooklyn,20180919,"Fuzhou Fish Balls, packaged in a blue and white package bag, in two sizes:   Net WT: 14 OZ (400g), UPC: 6 953640 05000 and Net WT:4.5 lbs. (2043g), UPC: 6 953640 050017. Keep Frozen.",Unknown,"Product contains undeclared allergens, egg, crustacean, and pork.",H & C Food Inc.,F-0004-2019
72,MN,Minneapolis,20180509,Sweet Earth Bean and Mango Cuban 9oz    UPC: 16741001022     Target item number: 270-2-870,2652 retail units total,Shipping container from CA to HI was not held at proper temperature which could cause food items to be contaminated with spoilage organisms or pathogens,Target Corporation,F-1206-2018
73,MN,Minneapolis,20180509,SMUCKERS 8OZ UNCR WW PB STRW    UPC: 51500041383    Target item number: 270-2-101,2652 retail units total,Shipping container from CA to HI was not held at proper temperature which could cause food items to be contaminated with spoilage organisms or pathogens,Target Corporation,F-1282-2018
74,CA,Carson,20181107,"Trader Joe's Hummus quartet; 20 oz. plastic container;  Spicy Hummus Roasted Garlic Hummus, Regular Hummus and Tomato Basil Hummus.     Perishable, Keep Refrigerated.    SKU 39570","47,892 containers",Hummus was recalled due to potential Salmonella and/or Listeria monocytogenes contamination,"Bakkavor Foods USA, Inc.",F-0351-2019
75,NY,Tonawanda,20181212,"Chocolate and Nut Tray. The product comes in a four-quadrant plastic tray, NET WT 37 OZ (2 LBS 5 OZ) 1.05KG, with UPC: 0 23637 43369 0.",229 cases,Product contains undeclared pecans and cashews.,"First Source, LLC",F-0691-2019
76,IA,Sioux City,20180214,"Sea Salt Caramel Hearts, Net Wt 12 OZ (340 g), Made by Palmer Candy Company, Sioux City, Iowa. UPC 77232-17091",63 cases,"During packaging, the firm observed a peanut stuck to the outside of caramel heart. Peanuts are not declared on the label.",Palmer and Company,F-0751-2018
77,NY,Long Island City,20181107,"Mini Roll, The product comes in a 2.469 ounce pink plastic package marked with a production date of 2018.03.20 stamped on the back. The product UPC code is 6 946050 104746. Product of China.",12 cases,Product contains undeclared eggs.,APOLLO FOOD INTERNATIONAL INC.,F-0350-2019
78,HI,Keaau,20181024,"Mauna Loa   All Natural  Dry Roasted Macadamias with Sea Salt  NET WT 4.5 OZ (127 g),    6-4.5 OZ (127 g) NET WT 1 lb 11 OZ (765 g),  NET WT 1.15 OZ (32 g),  NET WT 25 OZ (1 LB 9 OZ) 708 g,  UPC 0-72992-04003-6  UPC 0-72992-04016-6  UPC 0-72992-04170-5  UPC 0-72992-34156-0","6,943 cases",Potential E. coli contamination.,Mauna Loa Macadamia Nut Corp,F-0040-2019
79,IL,Chicago,20180404,"Bourbon Brown Sugar Rub SE746665, 50# Bags",20 units,"Newly Weds Foods, Inc. initiated a voluntary recall of dry blended seasonings for industrial use due to a supplier's recall of yeast because of the presence of salmonella.",Newly Weds Foods Inc,F-0959-2018
80,IN,Indianapolis,20181107,ANCHO CHILI & CORN CAULIFLOWER RICE;  12oz. Plastic Clamshell;  Keep Refrigerated;   UPC 0826766185900,605 units,Products recalled due to potential contamination with Listeria monocytogenes or Salmonella.,Caito Foods LLC.,F-0357-2019
81,IL,Carol Stream,20180801,Prinova brand  Product - MRI Amintoten Strawberry Powder  25 Kgs Fiber carton double layer polyethylene bag as liner,3350 kgs,"This recall has been identified due to the detection of cyclamates (artificial sweetener). Use of or consumption of cyclamates may include potential health hazard. Cyclamates and its salts (such as calcium cyclamate, sodium cyclamate, magnesium cyclamate, and potassium cyclamate) are currently prohibited from use in the United States.",Prinova US LLC,F-1659-2018
82,MN,Minneapolis,20180509,Ben and Jerry's One Love 1 pt.    UPC:76840036745    Target item number: 288-7-170,2652 retail units total,Shipping container from CA to HI was not held at proper temperature which could cause food items to be contaminated with spoilage organisms or pathogens,Target Corporation,F-1280-2018
83,TX,Plano,20181212,16 count Smartfood Delight Variety Pack Sack,"19,565 sacks (total)",The firm is recalling 1/2 oz. bags of Smartfood Delight Sea Salt Flavored popcorn packaged in two variety pack offerings. The popcorn bags have the potential to contain cheese-flavored chips and therefore undeclared milk.,"Frito-Lay, Inc.",F-0689-2019
84,CA,Berkeley,20180808,"Roctane Ultra Endurance Energy Gels:  Sea Salt Chocolate, Roc Gel:  ROC GEL 1 Pkt, Item # 123901, UPC: 769493201966;  ROC GEL 15 Serve Pkt, Item # 124102, UPC: 769493100900;  ROC GEL 24 Pkt Box, Item # 123904, UPC: 769493201959.","22, 848, 401 (All Domestically)",Firm was notified by L-Leucine supplier that product may contain cyclamates. Testing of the product confirmed this and a recall was initiated.,Advanced Food Concepts,F-1706-2018
85,MN,Minneapolis,20180425,"Midwest Northern Nut Happy Snack Mix.  Net Wt. 25 lbs.    Midwest Northern Inc., Minneapolis, MN  55118","35,056 lbs.",potential Allergen cross contact in oil used to roast various nuts and seeds products.,Midwest Northern Inc,F-1079-2018
86,MA,Springfield,20180110,"Rachael's SPRINGFIELD SMOKED FISH Smoked Trout 6 oz, UPC: 045049117258",43606.61 pounds (total for all products),Product may be contaminated with Listeria monocytogenes.,Rachael's Food Corporation,F-0540-2018
87,MT,Polson,20180905,"Tipu's Chai - Sweetened Masala Chai, Net wt.7.5 oz. per box. UPC #: 7 19196 20035 3.  Each box contains five single serve sachet packets of Chai Tea Latte.    Single serve sachet Chai Tea Latte packets, net wt. 1.1 oz per packet. UPC 7 19196 20073 5.    The LABEL of Sweetened Masala Chai is read in parts: ""***SWEETENED MASALA CHAI add water + milk ***NET WT. 7.5 OZ ***INGREDIENTS: Organic dry cane syrup, black tea, organic spices.    The LABEL  of single serve sachet Chai Tea Latte packet is read in part ""***CHAI TEA LATTE simply add water *** NETWT 1.1 OZ ***INGREDIENTS: Organic dry cane syrup, Milk powder (Concentrated nonfat milk, cream, lactose, sunflower lecithin, Vitamin A palmitate and Vitamin D3, Tocopherols (a natural source of Vitamin E to protect flavor)), Instantized black tea, Organice spices, Ginger.",60 Retail Box Units,"Product is recalled due to undeclared milk.  Sweetened Masala Chai boxes contain five single serve sachet packets of Chai Tea Latte, which declares milk, but Sweetened Masala Chai boxes do not declare milk.",Tipu'S Chai,F-1857-2018
88,IL,Oakbrook Ter,20181031,Jalapeno Poblano Onion Blend;    Sold in 2 lb. and  25 lb. containers. Brand Name:Jon-Lin¿,"14,353","During an internal audit at the manufacturing location, it was discovered that finished product had been released on numerous occasions after receiving presumptive positive test results for Listeria monocytogenes and Salmonella; confirmation was not conducted.",McCain Foods USA,F-0228-2019
89,FL,Davie,20180131,Rugby Poly-Vitamin w/ Iron Liquid 50 mL UPC 00536-8530-80,Unknown,Presence of yeast and potential contamination with B. cepacia.,Pharmatech LLC,F-0634-2018
90,PA,Chambersburg,20180124,"Sysco Imperial Glazed Hot Bacon Dressing; Net Contents 1 GAL; Distributed by Sysco Corporation, Houston, Texas  77077; Code: B12917","24, 4  1 gal/cs.",A plastic foreign object was inadvertently introduced into the product stream. The firm is recalling product as not all plastic has been accounted.,"Ventura Foods, LLC",F-0593-2018
91,CA,Rialto,20180801,"Sweet Serenity Caramel Sea Salt Chocolate Chip Cookies,  with caramel flavored chips;  NET WT; 2 oz.  UPC: 0 31535 59962 2    Manufactured by Biscomerica Corp, Rialto, CA    Ingredients: Enriched unbleached flour (wheat flour, niacin, reduced iron, thiamine mononitrate {Vitamin B1}, Riboflavin {Vitamin B2} Folic acid), palmsoy margarine (palm oil, soybean oil, water, contains less than 2% salt, vegetable mono & diglycerides, soy lecithin, sodium benzoate (a preservative), citric acid, natural and artificial flavor, Vitamin A, Palmitate added, Beta Carotene (color) Caramel chips (Sugar, vegetable fat (palm kernel and or palm) nonfat dry milk color added, soy lecithin (an emulsifier) natural flavors, paprika oleoresin color, semi-sweet chocolate chips (sugar, unsweetened chocolate, cocoa butter, sol lecithin (an emulsifier) vanilla, brown sugar, sugar, water, sea salt, dried eggs, baking soda, salt , soy lecithin, natural and artificial flavor, ammonium bicarbonate.    Allergy information - contains Wheat, egg and soy ingredients.  May contain milk and tree nuts.","14,716 cs",Product labeling does not list milk in the contains statement; however milk is listed as in ingredient.,"Biscomerica, Inc.",
92,FL,Saint Petersburg,20181121,"No Sugar Added Raspberry Dream Ice Cream, 3 gallons",1003 tubs,Products may be contaminated with  Listeria monocytogenes.,Working Cow Homemade Inc.,F-0485-2019
93,MN,Minneapolis,20180509,Sweet Earth Basil Lasagna 9oz;    UPC: 16741001213    Target item number: 270-2-155,2652 retail units total,Shipping container from CA to HI was not held at proper temperature which could cause food items to be contaminated with spoilage organisms or pathogens,Target Corporation,F-1249-2018
94,FL,Bagdad,20180207,"Mary B's Made with Whole Grain, 220CT, Bulk Biscuits","562,302 Cases Total",Products have the potential to be contaminated with Listeria monocytogenes.,Hom'ade Foods,F-0695-2018
95,TX,DALLAS,20180808,Thunderbird Bars 1.15 oz Apple Pie Kid Bar (carton of 120),57 cases (120 each),The process control points did not reach the set temperature requirements.,APOGEE FOODS,F-1673-2018
96,CT,Norwalk,20180815,"Pepperidge Farm Goldfish Baked Snack Crackers, 30 Packs.  Containing 8 Flavor Blasted Xplosive Pizza Packs, 14 Flavor Blasted Xtra Cheddar Packs,  and 8 Grahams Vanilla Cupcake.  Net Wt. 29.4 oz. (1.8 lbs) (833g) UPC 14100-04713.","391, 432 cases total",Pepperidge Farm has been notified by one of its ingredient suppliers that whey powder in a seasoning that is applied to four varieties of Goldfish crackers has been the subject of a recall by the whey powder manufacturer due to the potential presence of Salmonella.,"Pepperidge Farm, Incorporated",F-1795-2018
97,IN,Indianapolis,20180711,"Multiple Brands Mixed Melon:    Customer  Product Description  Pack Weight                 UPC      	   Label Description/Brand 	    Walgreens 	FRUIT SALAD SEASONAL WAG 1/32Z, 32 oz., UPC: 49022637764 	Delish label    Walgreens 	SEASONAL FRUIT SALAD 1/10Z, 10 oz., UPC: 49022519183 	Delish label","3,160,647.91 lbs. Total",Products have the potential to be contaminated with Salmonella.,"Caito Foods Service, Inc.",F-1643-2018
98,IL,Alsip,20180808,Cheese and Garlic Crouton Seasoning  50 pound bag   Item 859019400,"602 bags, 30,100 lbs",Potential presence of  Salmonella due to use of recalled whey ingredient,Griffith Labs U.S.A.,F-1885-2018
0,TX,Austin,20190306,Goat Cheese Salad with Mandarin Orange and Candied Cashews packaged in plastic nonflexible containers,16 units,Product potentially contaminated with Salmonella.,Whole Foods Market,F-1120-2019
1,TX,Austin,20190306,Focaccia Vegetable Pesto Sandwich packaged in plastic nonflexible containers,29 units,Product potentially contaminated with Salmonella.,Whole Foods Market,F-1119-2019
2,IL,Chicago,20190220,"RXBAR: Coffee Chocolate, 1.83oz bars, single bar, , 12-count carton","75,695,266 Individually wrapped bars",Chicago Bar Company LLC d/b/a RXBAR is voluntary recalling certain varieties of bars due to undeclared allergen peanut.,CHICAGO BAR COMPANY LLC RXBAR,F-0884-2019
3,IA,West des Moines,20190213,"HyVee brand Chocolate-flavored Bettercreme cheese cakes packaged in the following ways:    1) Chocolate Bettercreme Cheesecake, Net Wt. 7 OZ, HyVee West Des Moines, IA UPC 02 82323 XXXXX packaged in clear plastic containers;    2) Chocolate Bettercreme Cheesecake, Net Wt. 27 OZ, HyVee West Des Moines, IA 02 82324 XXXXX, packaged in clear plastic containers;","2,608 32 oz and other similar sizes; 4,367 8 oz and other similar sizes",Product contained an ingredient that tested positive for Salmonella.,Hy-Vee Stores Inc,F-0831-2019
4,CA,Marina Del Rey,20190220,Thrive Market Non-GMO Creamy Almond Butter 16 oz.  SKU/UPC 671635704733,"152,216 all varieties",Potential Listeria monocytogenes contamination.,THRIVE MARKET,F-0906-2019
5,WI,Lake Mills,20190220,"Oskri Tahini Butter, Creamy, Net Wt. 16 oz. (453g),  UPC 66016-40130.  No Refrigeration Required.  Oskri, 528 E. Tyranena Park Rd, Lake Mills, WI  53551    EXPANDED:  Wholesome Pantry branded Organic Tahini Butter in 16 oz. plastic jars UPC 04119005828.",1557 units,Sunflower and Tahini Butter has the potential to be contaminated with Listeria monocytogenes.    EXPANDED1/21/2019  Recall was expanded to include all Oskri manufactured butters due to potential Listeria monocytogenes contamination.,Oskri Corp.,F-0916-2019
6,NC,Concord,20190227,TRADCHS CHEESE CHEDDAR SMOKEY PRCT¿  1/9 LBS,3,"The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.",Sysco Charlotte,F-0959-2019
7,CA,Marina Del Rey,20190220,Thrive Market Creamy Cashew Butter 16 oz.  SKU/UPC 671635704801,"152,216 all varieties",Potential Listeria monocytogenes contamination.,THRIVE MARKET,F-0912-2019
8,OH,Columbus,20190102,ROOT 23 CUCUMBER HABANERO SIMPLE SYRUP 375 ml,390 Units,Non-compliance with process authority schedule; temperature at start of thermal process not recorded.,Root 23 LLC,F-0756-2019
9,NC,Concord,20190227,Sea Wings CRAB MEAT CLAW PAST ASIA,184,"The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.",Sysco Charlotte,F-0988-2019
10,CO,Denver,20190227,MEMBERS MARK SELF RISE FLR 25LB,,Ardent Mills is voluntarily recalling certain lots of Self-Rising Flour because it has the potential to be contaminated with Salmonella.,"Ardent Mills, LLC",F-0942-2019
11,CA,Brea,20190206,Sysco Classic Liquid Margarine;  2 x 17.5 lb. plastic containers;  99961WFS,546 cases,Two lots of Sysco Classic Liquid Margarine have mislabeled interior packaging that identifies the product as Clear Canola Salad Oil STF which does not declare soy lecithin on the labeling.,Ventura Foods Llc,F-0780-2019
12,NC,Concord,20190227,Yoplait YOGURT VANILLA VERY LIGHT,62,"The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.",Sysco Charlotte,F-1044-2019
13,NC,Concord,20190227,Capra CHEESE GOAT W/ HNY 4 OZ,1cs/12/4 oz,"The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.",Sysco Charlotte,F-0971-2019
14,WI,Lake Mills,20190220,"Organic Peanut Spicy Cayenne Butter, packaged in 16 oz. Plastic jars UPC 66016-40111, pouches UPC 66016-40164.  Oskri, 528 E. Tyranena Park Rd, Lake Mills, WI  53551.","249,234 units",Sunflower and Tahini Butter has the potential to be contaminated with Listeria monocytogenes.    EXPANDED1/21/2019  Recall was expanded to include all Oskri manufactured butters due to potential Listeria monocytogenes contamination.,Oskri Corp.,F-0922-2019
15,GA,Savannah,20190220,"Chocolate instant pudding and pie filling packaged in the following ways:    1) Chef's Companion Sugar Free, Reduced Calorie, Instant Chocolate Pudding & Pie Filling, Net Wt. 5 OZ, Distributed By Diamond Crystal Brands, Inc. Savannah, GA, in paper pouches, 12 per case;    2) Monarch, Chocolate Pudding Mix, Instant Sugar Free, Net Wt. 5 OZ, Distributed By US Foods, Inc. Rosemont, IL, in paper pouches, 12 per case;    3) Classic Sysco, Dessert Mix, Reduced Calorie, Chocolate Instant Pudding & Pie Filling, Net Wt. 5 OZ, Distributed by Sysco Corporation, Houston, TX, in paper pouches, 12 per case;","1,150 cases",Recalled products were manufactured with an ingredient that is potentially contaminated with Salmonella.,"Diamond Crystal Brands, Inc.",F-0867-2019
16,CA,San Francisco,20190320,"Garden Gate Tofu, Firm;  Ingredients: Soybean, Filter water, Calcium Sulfate.    Contains: soy    Sold in 60 piece  (bulk box) and 18 piece packages - UPC 7 83301 96198 1",1475 - 60 piece and 540 18 piece,FDA sampling found Listeria monocytogenes in zone 1 and 2 food contact surfaces.,"Golden Gate Soy Products, Inc.",
17,WI,Lake Mills,20190220,"Peanut Butter Mixed Berry, packaged in 16 oz. Plastic jars,  UPC 66016-40191.  Oskri, 528 E. Tyranena Park Rd, Lake Mills, WI  53551.","249,234 units",Sunflower and Tahini Butter has the potential to be contaminated with Listeria monocytogenes.    EXPANDED1/21/2019  Recall was expanded to include all Oskri manufactured butters due to potential Listeria monocytogenes contamination.,Oskri Corp.,F-0923-2019
18,OR,Bend,20190306,"Craft Granola Goldenola Turmeric & Ginger, packaged in 3 oz. and 11 oz. poly bag, UPC: 860157002028  and 8601570020135",440 packages total,Craft Granola Goldenola Turmeric & Ginger was recalled due to visible undeclared whole cashews,Birdseed Food Co LLC,F-1055-2019
19,IL,Chicago,20190220,"RXBAR: Mint Chocolate, 1.83 oz. bars, single bar, 12-count carton, 4-count carton","75,695,266 Individually wrapped bars",Chicago Bar Company LLC d/b/a RXBAR is voluntary recalling certain varieties of bars due to undeclared allergen peanut.,CHICAGO BAR COMPANY LLC RXBAR,F-0887-2019
20,PR,Gurabo,20190313,"Gasc¿ Tomato Red Food Color, Net Contents: 5 gal (640 fl. oz)",(35) 5-gallon pails and (60) 32oz ea units,Failure to declare Yellow #6,"Gasco Industrial, Corp.",F-1153-2019
21,ME,Ellsworth,20190410,Wild Sweet ALLEN'S BLUEBERRIES WILD BLUEBERRIES IQF 30 LBS. NET 13.6 Kg. Packaged in a corrugated carton. Keep frozen at zero degrees F or below.,"37,800 pounds",Product tested positive for E.coli O157:H7  STEC.,"Allen's Blueberry Freezer, Inc.",F-1233-2019
22,WA,Spokane,20190213,"Turkey Bacon Cheddar sandwiches were made with Turkey, Bacon, Cheddar Cheese, Green Leaf and Seasoned Mayonnaise.    -Turkey Bacon Cheddar,	7.4 oz, UPC 88694 79804, Northwest Cuisine Creations brand.    -Turkey Bacon Cheddar,	7.4 oz, UPC 88684 79804, Fresh & Local brand.",329 units total,The sandwiches were made with green leaf and were recalled due to a potential to be contaminated with E. Coli O157:H7.,Spokane Produce Inc,F-0849-2019
23,CA,Gardena,20190306,"Ottogi Ppushu Ppushu BBQ Flavor  3.17oz x 40ea  Item #21503007  Manufactured by: Ottogi Ramyon Co. Ltd.  Distributed by: Ottogi America, Inc. 1650 W. El Segundo Bl. Gardena, CA 90249","1,594,338 units",Undeclared allergen; egg.,Ottogi America Inc,F-1068-2019
24,NC,Concord,20190227,Packer Arugula Baby Organic,2,"The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.",Sysco Charlotte,F-0947-2019
25,NC,Concord,20190227,Harbor Seafood CRAB MEAT SUPER LUMP PAST ASIA,12,"The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.",Sysco Charlotte,F-1000-2019
26,IA,West des Moines,20190213,"HyVee brand cherry cheese cakes packaged in the following ways:    1) Cheesecake, Net Wt. 8 OZ, HyVee West Des Moines, IA UPC 02 80142 XXXXX packaged in clear plastic containers;    2) Cheesecake Family Size, Net Wt. 32 OZ, HyVee West Des Moines, IA 02 80141 XXXXX, packaged in clear plastic containers","2,608 32 oz and other similar sizes; 4,367 8 oz and other similar sizes",Product contained an ingredient that tested positive for Salmonella.,Hy-Vee Stores Inc,F-0824-2019
27,NC,Concord,20190227,Packer GRAPEFRUIT RUBY RED FRESH¿,9,"The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.",Sysco Charlotte,F-1007-2019
28,NC,Concord,20190227,Packer KUMQUAT FRESH¿,1,"The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.",Sysco Charlotte,F-1010-2019
29,NC,Concord,20190227,Sea Wings CRAB MEAT PAST JMBO LUMP ASIA,12,"The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.",Sysco Charlotte,F-0996-2019
30,TX,Austin,20190306,Serbian Ajvar Vegetable Club packaged in plastic nonflexible containers,3 units,Product potentially contaminated with Salmonella.,Whole Foods Market,F-1125-2019
31,NJ,Parsippany,20190320,"Victoria Marinara Sauce,  40 oz. (2.5 lb) 1133g, 6Jars / Case","1,280 Cases",Product may contain undeclared cashews.,"B&G Foods North America, Inc",
32,IL,Chester,20190327,"Best Choice Pancake & Waffle Complete Mix Original   32oz. retail carton,  12 retail units per wholesale case.  UPC# 70038 30212",331 cases,Undeclared milk. Buttermilk pancake mix which contains milk was packed in Best Choice Pancake & Waffle Complete Mix Original retail cartons which do not declare milk as an ingredient.,Gilster-Mary Lee Corp.,F-1180-2019
33,TX,Austin,20190306,Spinach Artichoke Bleus Pizza packaged in plastic nonflexible containers,2 units,Product potentially contaminated with Salmonella.,Whole Foods Market,F-1126-2019
34,WA,Spokane,20190213,"Italian Tapenade sandwich is Hoagie sandwich made with pepperoni, salami, capicola, cheese, Tapenade spread and green leaf lettuce.    -Italian Tapenade or Italian Hoagie sandwich, 7.7 oz, UPC 88694 79803, Northwest Cuisine Creations brand.  -Italian Tapenade or Italian Hoagie sandwich, 7.7 oz, UPC 88694 79803, Fresh & Local brand.",254 units total,The sandwiches made with green leaf are recalled due to a potential to be contaminated with E. Coli O157:H7.,Spokane Produce Inc,F-0846-2019
35,TX,Austin,20190306,Hot Bar Item; Mushroom Truffle Pasta Salad,1 case and 202.81 units,Product potentially contaminated with Salmonella.,Whole Foods Market,F-1132-2019
36,NC,Concord,20190227,Quality Crab CRAB MEAT JMBO LUMP NC,5,"The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.",Sysco Charlotte,F-0993-2019
37,IL,Chicago,20190417,Commercial Breader Batter;  B29767 BATTER MX X1;  50 pound bag,"20,250 lbs",Corn flour which may contain small pieces of plastic.,Newly Weds Foods Inc,F-1265-2019
38,ID,Boise,20190320,"Signature Caf¿ Tomato Basil Bisque Soup:  polypropylene cups with linear low density polyethylene caps, and with plastic film seal.  NET WT: 24 oz. (1 lb.. 8 oz.) 680 g  Perishable, Keep Refrigerated.  UPC 0002113015645    Distributed by: Lucerne Foods, Inc., P. P. Box 99, Pleasanton, CA 94566-0009",500 cases (8 cups per case),A temperature data logger which is intentionally placed into one container of soup to monitor cooling has been misplaced and believed to be in a retail package.,Albertsons Companies LLC,F-1159-2019
39,IL,Chicago,20190220,"RXBAR: 14-Bar Variety Pack (Chocolate Chip and Chocolate Sea Salt), 1.83 oz. per bar","75,695,266 Individually wrapped bars",Chicago Bar Company LLC d/b/a RXBAR is voluntary recalling certain varieties of bars due to undeclared allergen peanut.,CHICAGO BAR COMPANY LLC RXBAR,F-0896-2019
40,CA,Oakland,20190417,"Impossible Foods Bulk, 5 lb. vacuum sealed plastic-pack.  Keep Frozen;  This is a plant product that is looks like and is used like ground beef.  UPC: (01) 00816697020036;  Item # 60-00010","1,649 cases ( 4 x 5 lbs. packs per case)",Piece of plastic was found in bulk product.,Impossible Foods,F-1274-2019
41,WI,Plymouth,20190102,"Frozen Unbreaded Egg, 3 Cheese and caramelized onion.  Sample Number 18-0115.01.  Keep Frozen at 0-degrees or below zero.  ""Food for Research or Evaluation Use"".  Sargento Technical Center, Elkhart Lake, WI  53020",12 pieces,"Sargento is recalling Frozen Unbreaded French Onion CC, Frozen Unbreaded Egg 3 cheese and caramelized Onion and Frozen Unbreaded Egg, Gouda, caramelized onion due to potential Listeria monocytogenes or Salmonella contamination.","Sargento Foods, Inc.",F-0753-2019
42,CA,Orange,20190417,"Walgreens Probiotic 12.5 Billion Active Cultures, 30 capsules;  Dietary Supplement.    Probiotic Blend 12.5 Billion CFU's  L. rhamnosus HN001,   L acidophilus La-14,   L reuteri L.RE02.    Other ingredients:  Cellulose, Gelatin, Silicon Dioxide, Magnesium Stearate (vegetable source)/    Item Number: 981914  Product Number: WGNS 981914  UPC Code: 311917191119    product contains L. acidophilus La-5 strain instead of  L. acidophilus La-14 strain as stated on the label.    Distributed by Walgreen Co, Deerfield, IL",323 Packaged Cases,Incorrect probiotic strain used in formulation which did not match product labeling.,"Merical, LLC",F-1275-2019
43,CO,Denver,20190227,WESTCREEK H&R SELF RISE AP FLR 25LB and 50LB,,Ardent Mills is voluntarily recalling certain lots of Self-Rising Flour because it has the potential to be contaminated with Salmonella.,"Ardent Mills, LLC",F-0941-2019
