,state,city,report_date,product_description,product_quantity,reason_for_recall,recalling_firm,recall_number
84,CA,Emeryville,20131204,"Parsnip, Blueberry & Buckwheat      Flexible pouch with Resealable spout.  Packaged for individual sale in 6 count cartons and in 4 count packages.  Best By dates ranging from 08/05/14 to 12/08/14 and the letters AT.    DISTRIBUTED BY:  NEST COLLECTIVE, INC.  EMERYVILLE, CA 94608  1-877-914-PLUM  WWW.NEST-COLLECTIVE.COM","597,827 total cases, all varieties",Manufacturing defect leading to post-process  contamination.,Plum Inc,F-0377-2014
85,CA,Hacienda Heights,20131002,"MAX Brand CoQ-10, 780mg, 300 Count Capsules.    Product labeling reads in part:""MAX CoQ-10 80 mg***DIETARY SUPPLEMENT 300 Capsules***6 65176 25166 5***Manufactured in FDA Approved Facility for:HealthMax Products Inc. Altadena, CA 91001***"".","8,059 bottles","In response to a FDA inspection, the firm initiated this voluntary recall of various dietary supplements due to the following problems of mislabeling: 1) product named on the label is not actual product contained; 2)ingredients listed are not actual ingredients contained.",Healthmaxx Global Inc.,F-1940-2013
86,OH,Sidney,20130123,Radish Sliced 80/2oz bag Item #74605 BEST USED BY: 11/21/12 TC: 1 317 2359 15:45,"2 cs/80/2 oz (4,536g) bags",Possible contamination with Listeria monocytogenes.,Fresh Unlimited Inc,F-0895-2013
87,TX,Austin,20130828,"Crave Brothers Les Freres cheese sold with labeling as: Les Freres, Crave Brothers Les Freres, Les Freres Wash Rind Product of USA, Crave Bros Les Freres, Crave Brothers Les Freres Cheese by Pound, Les Freres Crave Brothers, and Les Freres Crave Brothers PO-RK.  Cheese was cut and wrapped.",Unknown,"Whole Foods Market announces that it is recalling Crave Brothers Les Freres cheese in response to a recall by the Crave Brothers Farmstead Cheese Company of Waterloo, Wisconsin. The cheese is being recalled because it has the potential to be contaminated with Listeria monocytogenes, an organism which can cause serious and sometimes fatal infections in young children, frail or elderly people, and o",Whole Foods Market,F-1834-2013
88,MI,Zeeland,20131225,"LIPARI OLDTYME Mexicali Dip, Keep Refrigerated, outer box Net Wt. 1 0 lbs. Distributed by Lipari Foods, Warren, Ml 48089  Inner container:  Mexicali Dip, Dutch Treat Salads, Zeeland MI Net Wt. 5 Lbs.  Mexicali Dip, Dutch Treat Salads, Zeeland , MI Net Wt 14 oz. 396.9 g  Ingredients: INGREDIENTS CULTURED SOUR CREAM (PASTURIZED  HOMOGENIZED MILK, CREAM, MODIFIED FOOD STARCH, NONFAT  DRIED MILK, SODIUM PHOSPHATE, GUAR GUM, SODIUM NITRATE,  POTASSIUM SORBATE, CARRAGEENAN, lOCUST BEAN GUM,  ACTIVE CULTURE), BLACK( BEAN SALSA (TOMATOES, BLACK  BEANS, WATER, CORN, TOMATO PASTE, RED Bell PEPPER,  JALAPENO PEPPER, VINEGAR, SEASONING, Salt, SUG AR, SPICES,  DEHYDRATED GARLIC, CILANTRO CONCENT, XA NTHAN GUM,  POTASSIUM SORBATE, SODIUM BENZOATE,  DRIED  CHIVES), CHEDDAR CHEESE, MAYONNAISE (VGETABLE OIL  [SOYBEAN AND CANOlLA OILS], EGG YOLK, WATER CORN SYRUP,  VINIEGAR. SALT. SPICES. CALCIUM DISODIUM E'DTA) S'EASONING  MIX. CHILl POWDER. POTASSIUM SOHBATE  CONTAINS: EGG. MILK, SOY",894.75 LBS,Product has  potential Listeria monocytogenes contamination.,"DUTCH TREAT SALADS, INC",F-0829-2014
89,ND,Fargo,20130320,"40120,  CANADIAN OAT BASE (OATS. OAT BRAN, OAT FIBER, RYE, SUNFLOWER, OAT FLOUR, WHEAT, BARLEY),   DAKOTA SPECIALTY MILLING, INC., FARGO, ND ,  1 Net WT 50 LBS.","1,615.5000 CWTS",Some flour and flour blends produced at Dakota Specialty Milling have the potential to be contaminated with pliable metal wire mesh fragments from a defective flour sifter.,"Dakota Specialty Milling, Inc",F-1083-2013
90,WI,Milwaukee,20131211,"Grandpas Fresh Mango Salsa, 5916, 1/5 lb","1,159,754.46 total pounds, for all varieties","Garden-Fresh Foods is recalling various ready-to-eat salads, slaw, and dip products sold under various brands and codes because they may be contaminated with Listeria monocytogenes.","Garden-Fresh Foods, Inc.",F-0678-2014
91,WI,Milwaukee,20131218,"Archer Farms Feta & Roasted Red Pepper Dip, UPC 0 85239 69048 2, 11 oz, Product Code 69048","94,346 total cases, for all varieties","Garden-Fresh Foods is recalling various ready-to-eat salads, slaw, and dip products sold under various brands and codes because they may be contaminated with Listeria monocytogenes.","Garden-Fresh Foods, Inc.",F-0441-2014
92,FL,Lakeland,20130320,Publix 7 inch Whipped Topping 1/2 & 1/2 cake  Scale ID Number * 002-94420-00000 *The last five digits of the scale ID number contain the unit price. For example $4.99 would have the last five digits ending 00499.,,Maplehurst Deli-Bake South Inc. the cake supplier notified Publix Super market of a contamination with Listeria Monocytogenes on 11/15/2012.,"Publix Super Markets, Inc.",F-1164-2013
93,WI,Milwaukee,20131211,"Garden-Fresh Amish Country Mustard Potato Salad, Product Code  0 11596 51015 6, 	2/5 lb.  			.  	.","1,159,754.46 total pounds, for all varieties","Garden-Fresh Foods is recalling various ready-to-eat salads, slaw, and dip products sold under various brands and codes because they may be contaminated with Listeria monocytogenes.","Garden-Fresh Foods, Inc.",F-0486-2014
94,MO,Forsyth,20131225,"Enzyme - Travnie Extra, Formula C500, packaged in 30-capsule bottles (SKU 54513). Firm name on the label is National Enzyme Company;",5 bottles,Firm is recalling dietary supplements containing a raw material which may contain >0.3 ppb chloramphenicol,National Enzyme Co,F-0801-2014
95,TN,Spring Hill,20130417,"MUSCLEPHARM brand COMBAT POWDER (R), BANANA CREAM, NATURAL AND ARTIFICAL FLAVORS, HYBRID SERIES DIETARY SUPPLEMENT, NET WEIGHT 2 LBS (907 GRAMS), EXCLUSIVELY DEVELOPED AND MANUFACTURED FOR:  MUSCLEPHARM(TM) CORP., 4721 Ironton St., Denver, CO, 80239, UPC 736211050571",2427 units,One lot of each product may have extraneous materials due to a problem on the packing line.,F.H.G Corporation dba Integrity Nutraceuticals,F-1298-2013
96,MD,Baltimore,20130925,"Liquid Yeast Cream, Bulk, in tanker truck quantities, refrigerated 33F-45F","44,553 gallons",Bulk liquid yeast is contaminated with Salmonella.,American Yeast Corporation,F-1895-2013
97,WI,Milwaukee,20131211,"Garden-Fresh Poppy Seed Cole Slaw,  Product Code 0 11596 83016 2		10/31/2013 - 11/20/2013	1/8 lb","1,159,754.46 total pounds, for all varieties","Garden-Fresh Foods is recalling various ready-to-eat salads, slaw, and dip products sold under various brands and codes because they may be contaminated with Listeria monocytogenes.","Garden-Fresh Foods, Inc.",F-0573-2014
98,WI,Milwaukee,20131211,"Finest Traditions Creamy Cheddar Macaroni, Product Code 10 733147 10156 5,	1/8 lb","1,159,754.46 total pounds, for all varieties","Garden-Fresh Foods is recalling various ready-to-eat salads, slaw, and dip products sold under various brands and codes because they may be contaminated with Listeria monocytogenes.","Garden-Fresh Foods, Inc.",F-0520-2014
0,TX,Austin,20141217,"Whole Foods Market Caramelized Peach with Ricotta, UPC/PLU 20256300000",Unknown,The product has the potential to be contaminated with Listeria monocytogenes.,Whole Foods Market,F-0680-2015
1,DC,Washington,20140730,YES Green Tea Gelato,,"Mislabeling of  product as ""Organic""",Dolci Gelati LLC.,F-2200-2014
2,CA,Orland,20140115,"Organic Almonds:  Baugher Ranch Organics;  Certified Organic by California Organic Farmers  May Contain occasional Shell fragments.  Keep Refrigerated; 25 lbs.    Baugher Farms, Orland, CA",80 cases (25 lbs per case,Potential for metal fragments in product after a single wire from metal detector was confirmed to be cut into fragments and not all pieces are accounted for.,"Baugher Ranch Organics, Inc",F-1378-2014
3,NJ,Rosenhayn,20140319,Roasting Cinnamon Butternut Squash  Net Wt. 2 lbs (907 g) Foam Tray with 3 per case.  Keep Refrigerated  Distributed by Renaissance Food Group LLC   UPC 825786790333,429 units,Roasting cinnamon butternut squash is mislabeled.,"F & S Produce Co., Inc.",F-1627-2014
4,KY,Louisville,20140716,"Erica's PB&J Ice Cream. Manufactured by: Koogee-Queen Anne, LLC, d/b/a The Comfy Cow 2221 Frankfort Ave, Louisville, KY 40206.","3 gal - 2 units, 5.2qt - 1 unit.","During an FDA inspection the firm was notified that their bulk product lacked labels. Due to the lack of ingredient statement, the firm failed to declare direct allergens for the products. The products also lacked the declaration that they are packaged in a facility that processes peanuts, tree nuts, wheat, milk and eggs.","Koogee-Queen Anne, LLC",F-2096-2014
5,OR,Beaverton,20140101,"Mrs. Giles Homestyle Potato Salad, Formula POG16, packaged in 2/5-lb carton cases. Reser's Fine Foods, Inc., Beaverton, OR.",,The recalled products are potentially contaminated with Listeria monocytogenes.,"Reser's Fine Foods, Inc.",F-0296-2014
6,FL,Miami,20141210,HonduCrema (Hunduran Olanchana Style Cream) in individually soft poly/plastic bags labeled in part: Lacteos Santa Martha HonduCrema Crema Olanchana Olanchana Style Soft Blend Dairy Spread Net WT 1 LB (16 oz),"1,323 pieces","Virginia State (VDACS) found Listeria monocytogenes in Lacteos Santa Martha Quesito Casero Fresh Curd (Best by 9/27/14), FDA made an inspection, were the environmental samples collected came up positive also for Listeria monocytogenes, also the Oasis Brands Inc. sent finish products samples to a private lab, the Lacteos Santa Martha Cuajada en Hoja Queso Casero Hecho a Mano Fresh Curd (Best By dates of 10/18/14 and 11/25/14) came also positive for Listeria monocytogenes.  Oasis Brands Inc.  is voluntarily recalling ALL their Lacteos Santa Martha brand products manufactured that are within expiration date.","Oasis Brands, Inc",F-0607-2015
7,MI,Troy,20141105,"Good Herbs, Inc., ESSENTIAL DAILY GREENS, powder, 550 Oliver Dr Troy, MI 48084 The Quality Herb That Works",Approximately 1099 total units for all products,Products not manufactured under GMP's,"Good Herbs, Inc.",F-0190-2015
8,MI,Troy,20141105,"Good Herbs, Inc., GALLBLADDER HEALTH, 1 & 4 oz bottle, 550 Oliver Dr Troy, MI 48084 The Quality Herb That Works",Approximately 901 total units for all products,Products not manufactured under GMP's,"Good Herbs, Inc.",F-0281-2015
9,GA,Macon,20140409,"Mrs. Griffin's Hickory Smoke Barbecue Sauce, Net 32 Fl.oz. (946 mL), Made by Griffin Barbecue Sauce, Inc., Macon GA 31206",4000 units total for all varieties,Product contains undeclared allergen: milk (as a preservative).,"Bar-Jim Inc., dba Mrs. Griffins Barbecue Sauce",F-1705-2014
10,MI,Troy,20141105,"Good Herbs, Inc., HAIR, SKIN, & NAILS SUPPORT, 1, 4 & 8 oz bottle, 550 Oliver Dr Troy, MI 48084 The Quality Herb That Works",Approximately 901 total units for all products,Products not manufactured under GMP's,"Good Herbs, Inc.",F-0293-2015
11,NJ,Passaic,20140319,"Nicomex Color Para Tamal Net Wt 1/8  oz (3.54gms) Productos Mexicanos Distributed by Nicomex Inc. 88 First Street, Passaic, NJ 07055 Tel. (973) 815-2062.",93 lbs.UPC,Nicomex Inc. is recalling Camaron Entero for undeclared sulfites and Color Para Tamal for unapproved color based on NYSDAM Laboratory analysis.,Nicomex Inc.,F-1648-2014
12,OR,Beaverton,20140101,"Red Potato Salad, Formula PO.62, packaged under the following labels:     -Cross Valley Farms Red Royal Potato Salad packaged in 2/8-lb carton cases. Distributed by U.S. Foodservice, Inc., Rosemont, IL.    -Reser's Deluxe Red Skin Potato Salad packaged in 2/8-lb carton cases. Reser's Fine Foods, Inc., Beaverton, OR.    -Block & Barrel Deluxe Red Skinned Potato Salad packaged in 2/5-lb carton cases. Distributed by Sysco Corporation, Houston, TX.",,The recalled products are potentially contaminated with Listeria monocytogenes.,"Reser's Fine Foods, Inc.",F-0300-2014
13,WA,Kent,20140409,Peanut Butter Cookies,unknown,"Butter Creek Farms, Inc. is recalling peanut butter cookies due to undeclared peanut, wheat, soy, egg. The firm sold single product or combined this product with other products in gift boxes from the website http://cowchipcookies.com/index.htm.","Butter Creek Farms, Inc.",F-1728-2014
14,FL,Miami,20141029,"All Raw Vegan Certified Organic Carob Fudgy Brownie, Net WT. 5.5 oz. (156 g) - Keep Cool & Dry. Glaser Organic Farms, 19100 SW M13 Avenue, Miami, FL 33177. (305) 238-7747. UPC Code: 832910002061.","1,442","Glaser Organic Farms has been notified by its supplier Earth Circle Organics, of a recall of Organic Carob Powder due to possible health risks related to Salmonella contamination.",Glaser Organic Farms,F-0043-2015
15,MA,Cambridge,20141231,"Whole Foods Tarte Aux Pomme 10 inch, packaged in a brown box.  Net Wt. 2 lb 8 oz.   UPC: 23072300000",57 units,Product contains undeclared almonds,Whole Food Market,F-0750-2015
16,IL,Chicago,20140723,"Vita Classic Premium Sliced Smoked Atlantic Nova Salmon, packaged in a black vacuum-sealed, plastic film package for retail sale. Product is labeled ""ready to serve"" and each package contains 4 ounces of product.","626 cases, each case contains 12/4 ounce packages, TOTAL PACKAGES = 7,512 packages",This voluntary recall is being initiated due to a positive Listeria monocytogenes sample taken by the Florida Department of Agriculture and Consumer Services.,"Vita Food Products, Inc.",F-2175-2014
17,MI,Troy,20141105,"Good Herbs, Inc., LIVER & GALLBLADDER HEALTH, 1 & 4 oz bottle, 550 Oliver Dr Troy, MI 48084 The Quality Herb That Works",Approximately 901 total units for all products,Products not manufactured under GMP's,"Good Herbs, Inc.",F-0329-2015
18,NY,Farmingdale,20140108,"Biogenix USA Energize capsules, packaged as a bulk product in clear plastic bags.",,"The dietary supplements have the potential to be contaminated with undeclared steroids, pharmaceutical ingredients and/or chemical additives due to lack of GMPs.",Mira Health Products Ltd.,F-1308-2014
19,HI,Honolulu,20140226,"Mid Pac Foods brand sauce for Char Sui;  Net 7 FL. oz (207 ml);  Made in Hawaii, Keep in cool place  UPC: 7336620250    Manufactured by Mid Pac Foods, Inc.  Honolulu, HI.",400 cases (12 units per case),"Inspection at firm found that sauce for Char Siu declares Hoisin sauce as an ingredient, but does not declare the sub ingredient of wheat.","Mid Pac Foods, Inc.",F-1539-2014
20,AK,Kodiak,20140625,"Pacific halibut, skin-on boneless fillet; vacuum packaged in a clear plastic bag. The wt of the fish is the only labeling included on the product..",42 pounds,"Firm has been cold smoking, vacuum packaging, and distributing frozen seafood products without the required operating permit and without HACCP controls in place.",Kodiak Wild Alaska Seafood,F-2042-2014
21,SC,Hilton Head Island,20141210,"Gourmet Warehouse, Island Jerk Marinade, 16 fl oz. (473 mL), Ingredient: Soy Sauce, Lemon Juice, Thyme, Allspice, Onion, Garlic, Cayenne Pepper, Salt, Savory Paprika, Spices, P.O. Box 22764, Hilton Head Island, SC 29925.",,"Undeclared non-allergens, soy, wheat, anchovies.",R and S Gourmet Warehouse,F-0594-2015
22,MI,Troy,20141105,"Good Herbs, Inc., LIVER HEALTH, 1 & 4 oz bottle, 550 Oliver Dr Troy, MI 48084 The Quality Herb That Works",Approximately 901 total units for all products,Products not manufactured under GMP's,"Good Herbs, Inc.",F-0330-2015
23,MI,Troy,20141105,"Good Herbs, Inc., FLOWER ESSENCE-R PLUS & CLEMATIS, 4 oz bottle, 550 Oliver Dr Troy, MI 48084 The Quality Herb That Works",Approximately 901 total units for all products,Products not manufactured under GMP's,"Good Herbs, Inc.",F-0261-2015
24,MI,Troy,20141105,"Good Herbs, Inc., CRANESBILL, 1 & 4 oz bottle, 550 Oliver Dr Troy, MI 48084 The Quality Herb That Works",Approximately 1099 total units for all products,Products not manufactured under GMP's,"Good Herbs, Inc.",F-0170-2015
25,IL,Northfield,20140730,"Cottage Doubles - cottage cheese, 2% milkfat, with pineapple topping sold under the Knudsen brand and packaged in a plastic container with a net weight of 3.9 oz. (110 g).","413,796 containers","Kraft Foods is voluntarily recalling 18 SKUs of Knudsen Cottage Cheese, nine SKUs of Breakstone's Cottage Cheese, five SKUs of Simply Kraft Cottage Cheese and two SKUs of Daily Chef Cottage Cheese produced at our Tulare, CA manufacturing facility. Some ingredients used in these products were not stored in accordance with Kraft's temperature standards. While unlikely, this could create conditions t",Kraft Foods Group,F-2212-2014
26,OR,Beaverton,20140101,"Pasta Artichoke, Formula PA.04, packaged under these labels:  Resers Pasta Salad in 2/8 lb carton cases. Resers Fine Foods, Inc. Beaverton, OR.",,The recalled products are potentially contaminated with Listeria monocytogenes.,"Reser's Fine Foods, Inc.",F-0303-2014
27,FL,Tampa,20141022,"Wild Caught Seared Ahi Tuna Seasoned with Cracked Black Pepper and Garlic, manufactured by Lagniappe Louisiana Foods, Inc.-Instructions say to keep frozen.","6,475 cases",Possible contamination with Listeria monocytogenes.,"Anova Food, Llc",F-0030-2015
28,ME,Warren,20141119,"Daily Balance Vanilla Dietary Supplement Packaged under the labels Stronger Faster Healthier: 2 lb (32 oz),  and 10 oz sizes",,Protein supplement fails to declare allergen milk,"Maine Natural Health, Inc.",F-0486-2015
29,AL,Birmingham,20140108,"Diet Coke, 2L, 67.6 FL OZ (2 QT 3.6 FL OZ), UPC 4900005011",398 cases,"One lot of Diet Coke, 2L, may contain regular Cherry Coke which contains sugar.","Coca Cola Bottling Company United-East, LLC",F-1336-2014
30,MN,Coon Rapids,20140709,"Sharp Cheddar Cold Pack Cheese sold under the following sizes and brands: 1. Parkers Farm or Parkers label in 8 ounce cups with snap-on lid (14001), 14 ounce cups with snap on lid (17001), 10 lb. pail with snap on lid (12341). 2.  Central Markets in 8 oz cups with snap on lid (27056). 3. Cobblestone Market in 5 lb. pail (42403) with snap on lid. 8. Dierks Waukesha in 5 lb. pail with snap on lid (11442)",1264 cases total,Parkers Farm is recalling  cheese and salsa products that may be contaminated with Listeria monocytogenes.  This action is being taken as a precaution in response to testing conducted by the Minnesota Department of Agriculture.,Parkers Farm Inc,F-2069-2014
31,MI,Troy,20141105,"Good Herbs, Inc., LYMPHATIC HEALTH, 4 oz bottle, 550 Oliver Dr Troy, MI 48084 The Quality Herb That Works",Approximately 1204 total units for all products,Products not manufactured under GMP's,"Good Herbs, Inc.",F-0338-2015
32,OR,Beaverton,20140101,"Reser's Fine Foods Desserts, Raspberry Parfait, Formula PF.78, packaged in 2/8-lb container cases.",,The recalled products are potentially contaminated with Listeria monocytogenes.,"Reser's Fine Foods, Inc.",F-0316-2014
33,NM,Albuquerque,20140226,"Bueno GC NM Autumn Roast Hot 5-5# Z, Product Item Number 1062-3. Packaged in sealed poly film pouches.  All packed in cardboard shipper box that is then sealed with attached shipper label. Total package size  5 units of 5 lbs each per case, totaling 25 lbs.",Unknown,Products were recalled due to possible Listeria monocytogenes contamination.,"El Encanto, Incorporated",F-1524-2014
34,MI,Troy,20141105,"Good Herbs, Inc., FLAX, 1 & 4 oz bottle, 550 Oliver Dr Troy, MI 48084 The Quality Herb That Works",Approximately 1099 total units for all products,Products not manufactured under GMP's,"Good Herbs, Inc.",F-0204-2015
35,MI,Troy,20141105,"Good Herbs, Inc., POKE, 1 oz bottle, 550 Oliver Dr Troy, MI 48084 The Quality Herb That Works",Approximately 1204 total units for all products,Products not manufactured under GMP's,"Good Herbs, Inc.",F-0383-2015
36,MI,Troy,20141105,"Good Herbs, Inc., FLOWER ESSENCE ROCK WATER, 1 & 4 oz bottle, 550 Oliver Dr Troy, MI 48084 The Quality Herb That Works",Approximately 901 total units for all products,Products not manufactured under GMP's,"Good Herbs, Inc.",F-0232-2015
37,MI,Troy,20141105,"Good Herbs, Inc., CHINESE ASPARAGUS, 1 & 4 oz bottle, 550 Oliver Dr Troy, MI 48084 The Quality Herb That Works",Approximately 1099 total units for all products,Products not manufactured under GMP's,"Good Herbs, Inc.",F-0157-2015
38,MN,Coon Rapids,20140423,"Garlic Salsa sold under the following sizes and brands:    1.  Parkers Farm or Parkers label in 16 ounce (51505) container with snap on lid, 32 ounce (41596) jug with screw on lid;","369,840 total cases for all varieties","Various Peanut butters, cheese spreads, cold pack cheese, salsa, cheese balls/logs have the potential to be contaminated with Listeria monocytogenes.",Parkers Farm Inc,F-1864-2014
39,MI,Troy,20141105,"Good Herbs, Inc., IMMUNE PLUS, 1 & 4 oz bottle, 550 Oliver Dr Troy, MI 48084 The Quality Herb That Works",Approximately 901 total units for all products,Products not manufactured under GMP's,"Good Herbs, Inc.",F-0307-2015
40,AK,Wasilla,20140312,"Blueberry drizzled in White Chocolate Biscotti-individually wrapped in cellophane.  Product is sold under Tonia's Biscotti brand, net wt. 2 oz.",unknown,"Blueberry dipped in White Chocolate Biscotti-individually wrapped is recalled due to undeclared wheat, soy, and milk.",Yukon Concessions Alaska LLC,F-1615-2014
41,NV,Las Vegas,20141001,"Supreme Choice brand Colossal, 16 oz;  Premium Pasteurized Crab Meat.  Product of Thailand.  Distributed by Supreme  Lobster and Seafood Company, Villa Park, IL 60181",,Potential hazard of Clostridium botulinum toxin formation as a result of temperature abuse during storage.,"Supreme Distributors, Inc.",F-2511-2014
42,CA,Rancho Dominguez,20140305,"Uncle Ben's (R), Infused(R) Rice Saffron Flavor, net weight 5 LB (2.27kg), Distributed by MARS foodservices US, P.O. Box 11547, Carson, CA 90749-11547","43,004 units, 2 units per case",Reports of mild flushing reaction after consumption of product led to concern of possible production issue.  Flushing condition resolved itself within two hours.,Mars Food US,F-1567-2014
43,NM,Albuquerque,20140226,"GC NO LABEL Hot 5-5# Z, Product Item Number 1056-0. Packaged in sealed poly film pouches.  All packed in cardboard shipper box that is then sealed with attached shipper label. Total package size  5 units of 5 lbs each per case, totaling 25 lbs.",Unknown,Products were recalled due to possible Listeria monocytogenes contamination.,"El Encanto, Incorporated",F-1511-2014
44,OH,Fresno,20140723,Walnut Creek Marble Cheese-- 6lbs of cheese in plastic bags; 4 per case,6747.12 lbs,Milk used in the products tested positive for antibiotics,Pearl Valley Cheese Inc,F-2181-2014
45,MI,Troy,20141105,"Good Herbs, Inc., STONEROOT, 1 oz bottle, 550 Oliver Dr Troy, MI 48084 The Quality Herb That Works",Approximately 1204 total units for all products,Products not manufactured under GMP's,"Good Herbs, Inc.",F-0426-2015
46,NM,Albuquerque,20140226,"Bueno GC NM Reserve Mild 5-5# Z, Product Item Number 1057-4. Packaged in sealed poly film pouches.  All packed in cardboard shipper box that is then sealed with attached shipper label. Total package size  5 units of 5 lbs each per case, totaling 25 lbs.",Unknown,Products were recalled due to possible Listeria monocytogenes contamination.,"El Encanto, Incorporated",F-1520-2014
47,MN,Coon Rapids,20140423,Smokey Bacon Cheese Ball sold under the following sizes and brands: 1. Parkers Farm and Parkers label in 10 ounce ball (40206) in film overwrap.,"369,840 total cases for all varieties","Various Peanut butters, cheese spreads, cold pack cheese, salsa, cheese balls/logs have the potential to be contaminated with Listeria monocytogenes.",Parkers Farm Inc,F-1858-2014
48,OH,Columbus,20140924,Dark Cocoa Peppermint- possible pints/possible half gallon.  Flavor of frozen dessert on the immediate package.  No ingredients listed.,Unknown for this product,Frozen desserts do not include ingredients on the labeling.,Jenis Splendid Ice Creams LLC,F-2461-2014
49,NM,Albuquerque,20140226,"Bueno GC NM Mild 12-13 oz Z, Product Item Number 1024-1.  Packaged in plastic containers.   All packed in cardboard shipper box that is then sealed with attached shipper label. Total package size of  12 units of 13 oz each per case totaling 9.75 lbs.",Unknown,Products were recalled due to possible Listeria monocytogenes contamination.,"El Encanto, Incorporated",F-1501-2014
50,MI,Troy,20141105,"Good Herbs, Inc., PARA FORMULA 1, 1 oz bottle, 550 Oliver Dr Troy, MI 48084 The Quality Herb That Works",Approximately 1204 total units for all products,Products not manufactured under GMP's,"Good Herbs, Inc.",F-0372-2015
51,NY,Farmingdale,20140702,"Oceans Cuisine brand CRAB STUFFING WITH REAL CRABMEAT, NET WEIGHT 3 LBS. (48 oz.) UPC 7 30692 00031 5, PRODUCT OF USA --- PACKED BY: OCEANS CUISINE LTD. FARMINGDALE, NY 11735 --- The product is packaged in plastic tub containers, 2 x 3 lb. containers per case",96 cases (2 x 3 lb. tubs per case),The crab stuffing is potentially contaminated with Listeria monocytogenes from the raw material (frozen minced crab meat).,"Oceans Cuisine, LTD.",F-2044-2014
52,NJ,Parsippany,20141224,"Ortega 40% Less Sodium Taco Seasoning 1.25 oz., UPC 41501-00824","7,201,809 cases total","Specific Ortega Brand Taco Seasoning, Taco Sauce, Taco Dinner Kits, and Enchilada Sauce, and Las Palmas brand Taco Seasoning and Taco Sauce products are being recalled because one or more of the spice ingredients may contain peanuts and almonds.","B&G Foods North America, Inc",F-0736-2015
53,TX,Dallas,20140122,"USPlabs OxyELITE Pro Super Thermo DIETARY SUPPLEMENT Manufactured for USPlabs, LLC (Dallas, TX 75220), distributed in the following sizes: 2 count capsules; 10 count capsules; 21 count capsules; 90 count capsules; and 180 count capsules.","2,166,328 units","USPlabs, LLC received a 423(a), Notification of Opportunity to Initiate a Voluntary Recall, letter from FDA and is recalling products containing Aegeline and associated with serious adverse health events, namely serious liver damage or acute liver failure.","USPlabs, LLC",F-1370-2014
54,OR,Beaverton,20140101,"Market Pantry Potato Salad, Formula PO.191, packaged in 12/454 gm carton cases. Distributed by Target Canada, Mississauga, ON.",,The recalled products are potentially contaminated with Listeria monocytogenes.,"Reser's Fine Foods, Inc.",F-0275-2014
55,MI,Troy,20141105,"Good Herbs, Inc., KELP, 1 & 4 oz bottle, 550 Oliver Dr Troy, MI 48084 The Quality Herb That Works",Approximately 901 total units for all products,Products not manufactured under GMP's,"Good Herbs, Inc.",F-0318-2015
56,MN,Andover,20140312,"Heart of the Valley brand Parsnips, produce of U.S.A.,  packaged in the following sizes: 16 ounces (453 grams), UPC 31446-22016;  20 ounces (566 grams), UPC 31446-22020; 20 lb. bags; and 40 lb boxes",5000 lbs.,"Parsnips were found to be above tolerance, maximum residue level, for the pesticide linuron.","Ed Fields & Sons, Inc",F-1603-2014
57,IL,Chicago,20140101,Self-Rising White Cornmeal Mix sold under the Aunt Jemima brand and packaged in a paper bag with a net weight respectively of 32 oz. (2 lb.) 907 g. or 5 lb. (2.26 kg.).,"15,334 cases (157,356 bags)","Some Aunt Jemima and Quaker brand Self-Rising Corn Meal Mix, Buttermilk Self-Rising Corn Meal Mix, and Quick Grits have levels of aflatoxin above the legal limit.",Quaker Foods and Snacks North America,F-1252-2014
58,MI,Troy,20141105,"Good Herbs, Inc., FLOWER ESSENCE-R PLUS, 1 & 4 oz bottle, 550 Oliver Dr Troy, MI 48084 The Quality Herb That Works",Approximately 901 total units for all products,Products not manufactured under GMP's,"Good Herbs, Inc.",F-0258-2015
59,NJ,Newark,20141001,"Tradiciones' Andinas Purple Corn Drink Chicha Morada, Net Wt: 33,81 Fl. oz. (1 Lt.), Distributed by: JP Trading and Global Imports LLc, Newark, NJ 07102 (973) 242-3143, Toll free (888) 606 PERU, NDC 854219002795",85 Cases,"Tradiciones' Andinas Purple Corn Drink Chicha Morada  contains undeclared FD & C Blue #1, Yellow #5 and contains unallowable dye: 16185- Amaranth (E123) - delisted FD & C Red 2.",JP Trading and Global Imports LLC,F-2521-2014
60,FL,Miami,20141210,Queso Cuzcatlan (Salvadorean Flavor Cheese) in individually soft poly/plastic bags labeled in part: Lacteos Santa Martha Queso Cuzcatlan Salvadorean Flavor Cheese Net Wt 1LB (16oz),210 pieces,"Virginia State (VDACS) found Listeria monocytogenes in Lacteos Santa Martha Quesito Casero Fresh Curd (Best by 9/27/14), FDA made an inspection, were the environmental samples collected came up positive also for Listeria monocytogenes, also the Oasis Brands Inc. sent finish products samples to a private lab, the Lacteos Santa Martha Cuajada en Hoja Queso Casero Hecho a Mano Fresh Curd (Best By dates of 10/18/14 and 11/25/14) came also positive for Listeria monocytogenes.  Oasis Brands Inc.  is voluntarily recalling ALL their Lacteos Santa Martha brand products manufactured that are within expiration date.","Oasis Brands, Inc",F-0600-2015
61,OH,Columbus,20140924,Lapsang Souchong with Armagnac Prumes- possible pints/possible half gallon.  Flavor of frozen dessert on the immediate package.  No ingredients listed.,Unknown for this product,Frozen desserts do not include ingredients on the labeling.,Jenis Splendid Ice Creams LLC,F-2466-2014
